comparison,baseline_algorithm_label,target_algorithm_label,group_kind,group_name,topology,topology_mode,attack_strategy,byzantine_fraction,byzantine_placement,target_arm,inflated_mean,metric,n_pairs,mean_difference,std_difference,sem_difference,ci95_low,ci95_high,min_difference,max_difference,ci_method,bootstrap_iterations,bootstrap_seed
vs_independent,independent,median,primary,clean_static_all_topologies,ring,static,no_attack,0.0,none,,1.0,best_arm_identification_rate_difference,100,-0.41,0.12615526748872405,0.012615526748872405,-0.43439999999999995,-0.3847999999999999,-0.72,-0.16000000000000003,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,median,primary,clean_static_all_topologies,ring,static,no_attack,0.0,none,,1.0,messages_sent_difference,100,100000.0,0.0,0.0,100000.0,100000.0,100000.0,100000.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,median,primary,clean_static_all_topologies,ring,static,no_attack,0.0,none,,1.0,scalar_values_sent_difference,100,1000000.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,median,primary,clean_static_all_topologies,scale_free,static,no_attack,0.0,none,,1.0,mean_per_agent_regret_difference,100,322.9242999999943,102.91300441797016,10.291300441797016,301.7718519999943,342.92138049999386,63.777999999995444,595.7399999999918,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,median,primary,clean_static_all_topologies,scale_free,static,no_attack,0.0,none,,1.0,total_population_regret_difference,100,8073.107499999856,2572.8251104492538,257.2825110449254,7614.057662499866,8582.272949999842,1594.4499999998861,14893.499999999798,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,median,primary,clean_static_all_topologies,scale_free,static,no_attack,0.0,none,,1.0,best_arm_identification_rate_difference,100,-0.32799999999999996,0.1802355361321637,0.01802355361321637,-0.36439999999999995,-0.29679999999999984,-0.8,-0.040000000000000036,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,median,primary,clean_static_all_topologies,scale_free,static,no_attack,0.0,none,,1.0,messages_sent_difference,100,184000.0,0.0,0.0,184000.0,184000.0,184000.0,184000.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,median,primary,clean_static_all_topologies,scale_free,static,no_attack,0.0,none,,1.0,scalar_values_sent_difference,100,1840000.0,0.0,0.0,1840000.0,1840000.0,1840000.0,1840000.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,median,primary,clean_static_all_topologies,small_world,static,no_attack,0.0,none,,1.0,mean_per_agent_regret_difference,100,194.394799999996,88.01764109907889,8.80176410990789,177.23981399999582,210.99148399999584,-2.7520000000015585,390.745999999996,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,median,primary,clean_static_all_topologies,small_world,static,no_attack,0.0,none,,1.0,total_population_regret_difference,100,4859.8699999999,2200.441027476972,220.0441027476972,4431.080637499903,5271.753074999888,-68.80000000003929,9768.6499999999,paired_percentile_bootstrap,2000,20260827
